Numéro ligne;Stations
10;Eglise d'Auteuil
10;Michel-Ange - Auteuil
10;Porte d'Auteuil
10;Boulogne Jean Jaurès
10;Boulogne Pont de Saint-Cloud
10;Boulogne Jean Jaurès
10;Michel-Ange - Molitor
10;Chardon Lagache
10;Mirabeau
11;Châtelet
11;Hôtel de Ville
11;Rambuteau
11;Arts et Métiers
11;République
11;Goncourt
11;Belleville
11;Pyrénées
11;Jourdain
11;Place des Fêtes
11;Télégraphe
11;Porte des Lilas
11;Mairie des Lilas
12;Mairie d'Aubervilliers
12;Aimé Césaire
12;Front Populaire
12;Porte de la Chapelle
12;Marx Dormoy
12;Marcadet - Poissonniers
12;Jules Joffrin
12;Lamarck - Caulaincourt
12;Abbesses
12;Pigalle
12;Saint-Georges
12;Notre-Dame-de-Lorette
12;Trinité - d'Estienne d'Orves
12;Saint-Lazare
12;Madeleine
12;Concorde
12;Assemblée Nationale
12;Solférino
12;Rue du Bac
12;Sèvres - Babylone
12;Rennes
12;Notre-Dame des Champs
12;Montparnasse Bienvenue
12;Falguière
12;Pasteur
12;Volontaires
12;Vaugirard
12;Convention
12;Porte de Versailles
12;Corentin Celton
12;Mairie d'Issy
13;Châtillon-Montrouge
13;Malakoff - Rue Etienne Dolet
13;Malakoff - Plateau de Vanves
13;Porte de Vanves
13;Plaisance
13;Pernety
13;Gaîté
13;Montparnasse Bienvenue
13;Duroc
13;Saint-François-Xavier
13;Varenne
13;Invalides
13;Champs-Elysées - Clemenceau
13;Miromesnil
13;Saint-Lazare
13;Liège
13;Place de Clichy
13;La Fourche
13;Guy Môquet
13;Porte de Saint-Ouen
13;Garibaldi
13;Mairie de Saint-Ouen
13;Carrefour Pleyel
13;Saint-Denis - Porte de Paris
13;Basilique de Saint-Denis
13;Saint-Denis - Université
13;La Fourche
13;Brochant
13;Porte de Clichy
13;Mairie de Clichy
13;Gabriel Péri
13;Les Agnettes
13;Asnières - Gennevilliers Les Courtilles
14;Mairie de Saint-Ouen
14;Saint-Ouen
14;Porte de Clichy
14;Pont Cardinet
14;Saint-Lazare
14;Madeleine
14;Pyramides
14;Châtelet
14;Gare de Lyon
14;Bercy
14;Cour Saint-Emilion
14;Bibliothèque François Mitterrand
14;Olympiades
